165,gabrielvictor,5764,3479901,2702,193,2864,2020-11-06 14:04:01.956,f,1304,-3,White
166,Quentono,105,76019,64,2,39,,f,1648,3,Black
167,gsmaldone,4812,2098534,1762,141,2906,2014-07-09 13:24:08.598,f,1394,-3,White
168,Munius,700,389038,436,14,250,2024-11-21 18:08:27.025,f,1727,4,Black
169,La-la-la,11,17068,9,0,2,,f,1500,162,Black
170,ptdhina,51696,12412085,21505,1015,29168,2024-11-21 23:48:32.408,f,1758,-8,Black
171,Alexey_K,276,169719,98,8,170,,f,1517,-19,White
172,IsraelCravchik,23908,9401520,8767,847,14291,2024-11-21 22:11:48.661,f,1282,20,Black
173,FashionBoy,974,560383,403,34,530,,f,1605,-9,White
174,alexanderthal,798,620024,386,33,379,2024-11-21 18:20:39.702,f,1641,-10,White
175,stech,1024,591028,230,35,759,2014-07-03 01:58:13.89,f,1161,-7,White
176,Allende,11406,4072898,5455,472,5479,2024-11-21 18:15:03.481,f,1358,5,Black
177,DannyLucano,51,29405,22,0,29,,f,1503,-58,Black
178,Sokol,49831,8052932,17174,999,31652,2024-11-21 23:57:46.588,f,1771,-8,Black
179,Haven,36899,6641065,16229,1111,19558,2024-11-21 21:59:19.279,f,1315,-8,White
180,luuletaja,4675,3695514,2116,150,2409,2024-09-08 03:55:54.542,f,1313,19,White
181,iH8tomatoes,73,47315,36,2,35,,f,1326,-31,Black
182,alitadepollo,87,60480,43,1,43,,f,1459,14,White
183,ow055,57763,18239053,27718,1286,28734,2024-11-21 08:57:06.688,f,1796,8,White
184,sandee,19524,4824268,7986,454,11084,2018-10-21 14:35:22.423,f,1723,-8,Black
185,RookieRook,40959,6285286,17838,640,22474,2024-10-21 00:58:16.614,f,1510,-15,Black
186,Sigognac,9508,3432825,4719,508,4281,2024-11-21 10:37:37.143,f,1400,8,White
187,mdandres_94,75,44811,15,1,59,2019-08-30 14:43:37.117,f,1341,-100,Black
188,qazmlpvgyhn,110,69008,22,1,87,,f,1431,-158,White
189,khan,0,0,0,0,0,,f,1434,-4,White
190,Melinda,2686,1149403,1487,31,1168,,f,1707,5,Black
191,zlate,19844,6700511,8155,1431,10255,2024-11-19 04:08:50.011,f,1614,-7,White
192,rundll8,139,81087,38,4,97,2013-08-24 11:36:05.723,f,1166,-24,Black
193,sign402,41,0,26,0,15,,f,1719,10,White
194,shueardm,68845,22630266,35704,2011,31116,2024-11-19 04:46:06.411,f,1273,24,Black
195,Richard_XII,3637,1461107,1560,57,2020,,f,1482,-15,Black
196,Thunder87,11,0,1,0,10,,f,1500,-157,White
197,ChristlovesU2,1965,707412,968,74,906,,f,1694,-7,White
198,adan65v,59,20436,5,1,52,,f,1500,-119,White
199,pskpress,22989,16513772,10514,764,11702,2024-11-17 15:48:11.626,t,1471,-8,White
200,jakethedog,0,0,0,0,0,,f,1572,-16,White
201,opptimyst,6,0,2,0,4,,f,1337,85,White
202,writinggambler,343,115916,63,12,268,,f,1055,47,White
203,LewisIII,2548,1548962,999,67,1482,2018-11-10 23:44:33.297,f,1413,-39,Black
204,spaces,10510,5196447,5763,172,4560,2014-12-21 07:54:32.437,f,1506,7,Black
205,Xmaschess,25,16331,20,1,4,,f,1585,87,White
206,RaptureInVenice,63,57982,38,3,22,,f,1734,4,White
207,Pozitiv,0,0,0,0,0,,f,1419,-4,Black
208,Maklaud695,3153,1082872,1572,71,1510,2020-01-24 03:43:07.007,f,1784,12,White
209,milkyway,18596,3512302,8581,468,9545,2024-11-21 21:24:48.341,f,1527,-6,Black
210,Viktoriya,41,10112,16,1,24,,f,1025,-52,Black
211,cadmandior,22994,5956220,7590,311,15067,2016-01-27 22:21:48.596,f,1622,-6,Black
212,saxwellrs,0,0,0,0,0,,f,1254,-8,White
213,yehshua,372,156402,197,6,169,,f,1548,3,Black
214,Masterstheven,1217,400303,449,24,744,,f,1820,-11,Black
215,garlic,1195,127771,748,35,401,,f,1672,10,White
216,Thiago,30725,5526453,13769,602,16332,2024-11-12 15:47:36.507,f,1679,10,Black
217,vegeta,307,127728,155,11,135,2013-12-29 12:09:30.961,f,1710,14,Black
218,Link,41528,8496256,20410,1528,19590,2024-06-18 12:41:48.605,f,1361,-10,White
219,ilovemyself,1083,439462,548,28,503,2021-12-22 16:13:08.429,f,1417,12,Black
220,xiaoqiao,0,0,0,0,0,,f,2041,-20,White
221,gregosaurus,54,61862,10,4,40,,f,1041,40,White
222,matru,27850,17348431,12388,1258,14199,2024-11-22 00:17:58.769,t,1386,-19,Black
223,Kingjones30,1290,632793,538,31,721,2023-04-13 19:00:24.746,f,1456,11,White
224,tinieblas,321,86598,269,13,39,2017-03-14 08:51:04.58,f,1980,12,Black
225,Leon_Gambetta,2638,943399,603,57,1975,2014-06-10 16:59:43.66,f,1709,-9,Black
226,919191,10990,6795543,5200,342,5440,2024-11-21 23:34:53.368,f,1402,9,White
227,Ziggler,75,39528,47,3,24,,f,1384,-10,Black
228,hiio_asakura,44,22696,5,1,38,,f,1261,-6,Black
229,MJordanLutz,932,502675,397,15,520,2014-08-08 22:37:13.434,f,1502,13,White
230,PES69Z28,414,301260,267,6,141,,f,1675,8,White
231,fistfullofbastard,1939,1168664,854,63,1022,2013-09-10 11:08:53.291,f,1559,-8,Black
232,MK9,189,134469,59,2,128,,f,1419,-5,White
233,samijoon,1005,979290,462,33,510,2015-03-19 15:16:03.447,f,1407,0,Black
234,xadrez80,38,36420,27,1,10,,f,1906,-23,White
235,menssser,10,3908,2,0,8,2013-06-07 01:01:08.341,f,1487,46,Black
236,ronis,1622,1364525,730,44,848,2016-09-19 16:13:26.38,f,1408,4,White
237,oilmanesh,8423,3809124,3752,212,4458,2014-01-03 09:18:05.348,f,1557,-5,White
238,froonsan,36,35290,19,1,16,,f,1447,19,White
239,Ghost_Lombardi,2148,468682,1593,14,541,,f,2114,11,Black
240,msusngi,2912,1207676,1265,138,1508,2023-06-27 07:20:24.752,f,1539,-7,White
241,veter1611,1126,1003165,656,49,421,2013-08-04 04:15:03.137,f,1909,5,Black
242,As17,1939,910866,1241,38,659,2013-08-20 19:37:53.071,f,1665,-57,White
243,Vlad,4077,591483,2228,37,1811,2015-05-03 22:46:32.101,f,1629,18,White
244,robusto,4307,3696244,2762,119,1423,2023-09-26 19:25:30.775,f,1755,4,Black
245,4lawsdotcom,113,81064,49,1,63,2013-06-07 23:52:01.754,f,1590,14,White
246,nazer,5875,3600457,2366,251,3256,2023-04-26 16:30:08.336,f,1331,-2,White
247,sakrat,16717,8657608,8968,1201,6547,2019-05-15 03:15:35.33,f,1903,-10,Black
248,COLDEST,4165,2014495,1859,78,2227,2014-09-06 12:16:43.036,f,1493,-13,Black
249,arun,0,0,0,0,0,,f,1352,20,Black
250,maclanie,711,235375,318,18,375,,f,1660,5,Black
251,srsbusnes,7974,2748920,4580,145,3246,2016-02-08 12:49:50.504,f,1629,7,Black
252,3xaxa,7375,4270254,3656,278,3441,2024-11-21 12:53:58.075,f,1633,8,Black
253,Dipankar,2112,1409783,921,60,1131,2013-08-17 03:58:30.19,f,1487,8,White
254,M3hran,2683,1721257,1129,95,1459,2015-05-26 07:55:22.972,f,1291,-30,Black
255,SAYANTAN,1647,766098,850,46,751,,f,1537,15,White
256,chinni,1485,930817,740,35,709,2021-11-22 07:39:22.814,f,1406,-7,White
257,FF4,0,0,0,0,0,,f,1460,9,White
258,2013_January,17,17328,5,1,11,,f,1500,353,White
259,Lalara,22,6906,15,0,7,,f,1400,82,White
260,arina1999,9839,2312446,6590,274,2972,2016-04-08 00:32:28.3,f,2154,2,White
261,ostap,70864,35033980,33289,4396,33163,2024-11-21 22:34:39.096,f,1626,-11,Black
262,famcaliap,7281,4724197,2715,629,3932,2023-07-27 06:10:15.966,f,1704,16,Black
263,evg,8878,3569916,4547,361,3970,2024-09-04 00:06:51.552,f,1594,-15,Black
264,bjagus,123044,28059072,55587,3240,64213,2024-11-22 00:10:20.259,f,1742,5,Black
265,ralphhh,0,0,0,0,0,,f,1422,14,Black
266,vincenzo2691,90,45255,41,3,46,,f,1808,-11,White
267,Verminard,13,0,8,0,5,,f,1243,253,Black
268,parsh,2649,2006315,1229,93,1326,2014-10-06 08:17:43.968,f,1719,-7,White
269,Tomi,1965,1083115,1053,64,847,2020-09-12 00:50:07.814,f,1423,11,White
270,Elquesoy,87,53191,22,0,65,,f,1418,-23,Black
271,BulletKiller,2,0,1,0,1,,f,1500,-159,White
272,ostrak11,7767,2816134,5538,276,1945,2021-03-30 13:02:38.505,f,2063,2,White
273,gilberthoy,2867,1733681,1207,115,1545,2024-11-18 19:57:58.173,f,1437,-4,Black
274,Aquatica,1484,1015534,425,49,1010,2013-06-09 06:08:29.72,f,1264,-11,Black
275,m0dE,2009,1147909,841,72,1096,2024-05-10 21:26:31.87,f,1121,-6,Black
276,RUS2012,263,143551,101,12,150,,f,1376,13,White
277,Delaza62,1456,1397840,714,103,637,2013-08-15 23:13:53.476,f,1604,13,White
278,Chenstix,4044,1351489,2059,220,1764,2023-03-19 19:09:38.922,f,1685,-5,Black
279,daredevil,7172,6044925,3082,288,3792,2017-03-08 11:27:44.509,f,1660,-14,White
280,samdegregori,5059,1748954,2172,49,2838,2024-10-23 14:56:51.659,f,1573,25,Black
281,ddj,61912,16980590,34497,4816,22346,2024-11-21 00:39:25.822,f,1619,12,White
282,dobro55,0,0,0,0,0,,f,1785,15,White
283,burina,59438,28185442,25000,1531,32904,2024-11-21 13:20:48.79,f,1609,7,Black
284,bagyula,3338,2242612,1405,81,1849,2014-12-13 01:11:37.327,f,1671,9,White
285,Rickstar19,31,17927,8,1,22,,f,1489,-67,White
286,JohnUA,6956,3133604,2363,188,4391,2019-10-23 09:57:14.691,f,1338,15,Black
287,MihaSAH,3985,2172389,2785,334,866,2014-04-24 13:48:02.748,f,1708,3,White
288,aminemaxime,928,488970,327,29,572,,f,1327,-3,Black
289,youcheckimate,7098,2361116,3624,119,3355,2024-11-19 22:42:08.698,f,1506,19,Black
290,mailtoilan,8944,8105267,3691,697,4555,2024-07-07 12:16:01.929,f,1746,11,White
291,Yeshi,1856,584275,1174,112,570,2024-11-19 04:25:28.57,f,1934,58,Black
292,Cukaruchay,0,0,0,0,0,,f,1702,11,White
293,patan2003,486,314219,234,14,238,2021-10-22 12:58:04.464,f,1267,17,White
294,H4RDY,3938,1264051,1871,92,1973,2021-03-29 10:58:00.127,f,1304,-12,Black
295,aggresivenapk1n,1055,424819,461,36,558,2024-06-25 13:59:10.031,f,1078,115,White
296,uytku,4082,1469254,1931,163,1987,2022-10-04 13:22:25.835,f,1550,-14,Black
297,tolik_mmm,3364,2100608,1735,180,1446,2024-11-20 20:26:42.372,f,1740,-4,White
298,Eldorado,422,241656,128,6,288,2015-06-20 08:03:56.211,f,1256,-13,Black
299,BulletPlay,153,12205,98,1,54,,f,1500,-94,White
300,terracota,284,135518,158,6,120,2014-03-12 12:11:49.008,f,1610,-8,Black
301,jsalemal-55,1267,1505008,664,38,565,,f,1594,7,White
302,tani_danilova,114,88051,31,5,78,2016-03-16 15:59:52.93,f,1500,-134,Black
303,akayhan,0,0,0,0,0,,f,1511,8,Black
304,zizigolo,0,0,0,0,0,,f,1368,-25,Black
305,baracuda,10453,5935576,5457,501,4495,2024-11-22 00:09:55.453,f,1533,12,Black
306,ajay_jangir,8524,2529464,4016,242,4234,2024-11-21 21:17:26.616,f,1263,-15,Black
307,ars72,0,0,0,0,0,,f,1774,17,White
308,NikZ,2044,1489954,1004,76,964,2014-11-08 02:16:30.811,f,1607,8,White
309,Lancer,831,561952,360,23,448,2023-10-10 06:14:32.076,f,1483,-8,Black
310,Stepan9,895,522253,428,34,431,2015-03-21 12:19:35.243,f,1584,-4,White
311,yurday,535,416218,364,13,158,2014-05-12 12:10:40.273,f,1833,6,Black
312,Hooman,357,152095,134,3,220,,f,1377,-4,White
313,UKwildcats,0,0,0,0,0,,f,1591,-11,Black
314,krakowiaczek46,1090,592035,341,35,714,2021-11-14 10:31:22.807,f,1500,-180,White
